Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,0.680000,0.700000,0.620000,0.650000,0.650000,159900
2019-08-19,0.760000,0.790000,0.660000,0.660000,0.660000,1873400
2019-08-20,0.660000,0.680000,0.620000,0.650000,0.650000,296400
2019-08-21,0.630000,0.650000,0.610000,0.630000,0.630000,116200
2019-08-22,0.630000,0.630000,0.600000,0.600000,0.600000,396500
2019-08-23,0.600000,0.630000,0.540000,0.600000,0.600000,424700
2019-08-26,0.610000,0.670000,0.610000,0.660000,0.660000,301300
2019-08-27,0.640000,0.780000,0.640000,0.740000,0.740000,820900
2019-08-28,0.760000,0.800000,0.710000,0.770000,0.770000,701800
2019-08-29,0.800000,0.850000,0.790000,0.830000,0.830000,373900
2019-08-30,0.850000,0.860000,0.740000,0.830000,0.830000,242700
2019-09-03,0.820000,0.970000,0.810000,0.940000,0.940000,500600
2019-09-04,0.990000,1.190000,0.840000,0.910000,0.910000,2496200
2019-09-05,0.950000,1.040000,0.820000,0.960000,0.960000,550200
2019-09-06,0.970000,1.000000,0.860000,0.980000,0.980000,507900
2019-09-09,1.010000,1.110000,0.900000,0.940000,0.940000,602400
2019-09-10,0.950000,1.000000,0.890000,0.990000,0.990000,407500
2019-09-11,0.960000,1.050000,0.900000,1.020000,1.020000,470500
2019-09-12,1.030000,1.060000,0.990000,1.050000,1.050000,293100
2019-09-13,1.050000,1.100000,1.050000,1.090000,1.090000,375900
2019-09-16,1.100000,1.200000,1.070000,1.200000,1.200000,517300
2019-09-17,1.200000,1.360000,1.180000,1.250000,1.250000,872000
2019-09-18,1.250000,1.320000,1.090000,1.250000,1.250000,552900
2019-09-19,1.260000,1.330000,1.100000,1.190000,1.190000,663500
2019-09-20,1.200000,1.300000,1.100000,1.280000,1.280000,358900
2019-09-23,1.240000,1.270000,1.150000,1.160000,1.160000,407400
2019-09-24,1.160000,1.200000,1.100000,1.140000,1.140000,174800
2019-09-25,1.130000,1.210000,1.020000,1.120000,1.120000,553900
2019-09-26,1.140000,1.200000,1.110000,1.160000,1.160000,222400
2019-09-27,1.150000,1.210000,1.040000,1.110000,1.110000,354900
2019-09-30,1.110000,1.110000,1.000000,1.050000,1.050000,161800
2019-10-01,1.050000,1.120000,0.940000,1.070000,1.070000,498700
2019-10-02,1.070000,1.150000,1.000000,1.040000,1.040000,219000
2019-10-03,1.040000,1.080000,1.000000,1.000000,1.000000,122700
2019-10-04,1.020000,1.050000,0.990000,1.000000,1.000000,104100
2019-10-07,0.990000,1.040000,0.990000,0.990000,0.990000,204300
2019-10-08,0.980000,1.000000,0.920000,0.920000,0.920000,162300
2019-10-09,0.920000,0.940000,0.810000,0.820000,0.820000,558400
2019-10-10,0.830000,0.880000,0.740000,0.770000,0.770000,758500
2019-10-11,0.760000,0.840000,0.760000,0.830000,0.830000,223600
2019-10-14,0.800000,0.840000,0.770000,0.800000,0.800000,66400
2019-10-15,0.800000,0.830000,0.780000,0.790000,0.790000,117200
2019-10-16,0.780000,0.830000,0.780000,0.800000,0.800000,104700
2019-10-17,0.790000,0.820000,0.770000,0.790000,0.790000,59400
2019-10-18,0.760000,0.820000,0.750000,0.750000,0.750000,37500
2019-10-21,0.750000,0.790000,0.670000,0.720000,0.720000,313300
2019-10-22,0.700000,0.740000,0.660000,0.700000,0.700000,123800
2019-10-23,0.690000,0.720000,0.650000,0.680000,0.680000,319900
2019-10-24,0.680000,0.700000,0.630000,0.630000,0.630000,136200
2019-10-25,0.650000,0.680000,0.650000,0.670000,0.670000,61400
2019-10-28,0.690000,0.700000,0.650000,0.670000,0.670000,67400
2019-10-29,0.670000,0.750000,0.650000,0.710000,0.710000,140700
2019-10-30,0.750000,0.750000,0.690000,0.700000,0.700000,83200
2019-10-31,0.700000,0.730000,0.680000,0.720000,0.720000,57100
2019-11-01,0.710000,0.720000,0.680000,0.720000,0.720000,63200
2019-11-04,0.720000,0.750000,0.720000,0.740000,0.740000,67400
2019-11-05,0.690000,0.740000,0.690000,0.720000,0.720000,75100
2019-11-06,0.720000,0.820000,0.700000,0.790000,0.790000,262500
2019-11-07,0.810000,0.900000,0.800000,0.820000,0.820000,146100
2019-11-08,0.850000,0.870000,0.780000,0.830000,0.830000,74800
2019-11-11,0.810000,0.840000,0.770000,0.770000,0.770000,71800
2019-11-12,0.780000,0.840000,0.760000,0.760000,0.760000,80400
